ID,Rating,Rarity,Element,Name,Series,2nd Series,Weapon,2nd Weapon,Race,2nd Race,Type,HP,ATK,VA,URL
4402,9.3,SSR,Fire,Anna (SSR),Permanent,-,Staff,-,Human,-,Attack,1250,9800,Yuka Inokuchi,https://gbf.wiki/Anna_(SSR)
2021,4.0,R,Fire,Anna (Summer),Summer,-,Staff,-,Human,-,Attack,620,4900,Yuka Inokuchi,https://gbf.wiki/Anna_(Summer)
4132,9.8,SSR,Water,Anne,Permanent,-,Spear,Staff,Human,-,Defense,1615,7925,Yōko Hikasa,https://gbf.wiki/Anne
4524,9.6,SSR,Light,Anne (Light),Permanent,-,Spear,Staff,Human,-,Balanced,1620,7900,Yōko Hikasa,https://gbf.wiki/Anne_(Light)
4030,,SSR,Water,Anre,Eternal,-,Spear,-,Harvin,-,Defense,1911,8911,Ryūsei Nakao,https://gbf.wiki/Anre
4103,9.7,SSR,Fire,Anthuria,Permanent,-,Melee,Harp,Erune,-,Special,1150,7970,Yū Asakawa,https://gbf.wiki/Anthuria
4369,9.8,SSR,Earth,Anthuria (Holiday),Holiday,-,Melee,Harp,Erune,-,Heal,1624,5460,Yū Asakawa,https://gbf.wiki/Anthuria_(Holiday)
4228,9.6,SSR,Dark,Anthuria (Yukata),Yukata,-,Melee,Harp,Erune,-,Balanced,1480,7000,Yū Asakawa,https://gbf.wiki/Anthuria_(Yukata)
3071,7.0,SR,Earth,Anzu Futaba,Tie-In / Collab,-,Gun,-,Human,-,Special,910,5150,Hiromi Igarashi,https://gbf.wiki/Anzu_Futaba
4076,9.4,SSR,Fire,Aoidos,Permanent,-,Sabre,Harp,Human,-,Special,1440,8400,Kishō Taniyama,https://gbf.wiki/Aoidos
4184,9.0,SSR,Earth,Aqours First-Years,Tie-In / Collab,-,Staff,-,Human,-,Heal,1910,6100,"Aika Kobayashi,Kanako Takatsuki,Ai Furihata",https://gbf.wiki/Aqours_First-Years
4183,9.0,SSR,Water,Aqours Second-Years,Tie-In / Collab,-,Sabre,Gun,Human,-,Balanced,1000,9660,"Rikako Aida,Anju Inami,Shuka Saitō",https://gbf.wiki/Aqours_Second-Years
4185,9.0,SSR,Fire,Aqours Third-Years,Tie-In / Collab,-,Spear,Gun,Human,-,Defense,2000,6800,"Nanaka Suwa,Arisa Komiya,Aina Suzuki",https://gbf.wiki/Aqours_Third-Years
3179,7.0,SR,Wind,Arisa,Tie-In / Collab,-,Bow,-,Other,-,Balanced,1100,4200,Kana Yūki,https://gbf.wiki/Arisa
4058,9.6,SSR,Wind,Arriet,Permanent,-,Harp,-,Human,-,Special,1300,8750,Chinatsu Akasaki,https://gbf.wiki/Arriet
4358,9.4,SSR,Light,Arthur,Permanent,-,Sabre,-,Human,-,Balanced,1710,7450,Toshiyuki Toyonaga,https://gbf.wiki/Arthur
3226,7.0,SR,Wind,Arthur (Event),Permanent,-,Sabre,-,Human,-,Balanced,980,5100,Toshiyuki Toyonaga,https://gbf.wiki/Arthur_(Event)
3255,7.0,SR,Wind,Arthur and Mordred,Permanent,-,Sabre,-,Human,Erune,Balanced,1100,6300,"Toshiyuki Toyonaga,Yusuke Shirai",https://gbf.wiki/Arthur_and_Mordred
4019,9.8,SSR,Earth,Arulumaya,Permanent,-,Staff,-,Harvin,-,Special,1160,8400,Maaya Sakamoto,https://gbf.wiki/Arulumaya
4104,9.0,SSR,Water,Arulumaya (Holiday),Holiday,-,Staff,-,Harvin,-,Special,1410,8800,Maaya Sakamoto,https://gbf.wiki/Arulumaya_(Holiday)
4367,9.3,SSR,Light,Arulumaya (Light),Permanent,-,Staff,-,Harvin,-,Defense,1760,7400,Maaya Sakamoto,https://gbf.wiki/Arulumaya_(Light)
3249,8.0,SR,Dark,Arulumaya (Yukata),Yukata,-,Staff,-,Harvin,-,Special,950,6970,Maaya Sakamoto,https://gbf.wiki/Arulumaya_(Yukata)
3036,7.5,SR,Light,Arusha,Permanent,-,Staff,-,Erune,-,Balanced,1125,5625,Fumiko Orikasa,https://gbf.wiki/Arusha
3268,7.5,SR,Fire,Aster,Permanent,-,Bow,-,Erune,-,Special,1000,5688,Risa Taneda,https://gbf.wiki/Aster
3044,6.0,SR,Wind,Aster (Event),Permanent,-,Bow,-,Erune,-,Balanced,720,4500,Risa Taneda,https://gbf.wiki/Aster_(Event)
4202,9.6,SSR,Fire,Athena,Permanent,-,Spear,-,Primal,-,Defense,1960,7000,Ayako Kawasumi,https://gbf.wiki/Athena
3143,6.5,SR,Earth,Augusta (Promo),Permanent,-,Harp,-,Draph,-,Special,900,5000,Rena Maeda,https://gbf.wiki/Augusta_(Promo)
4084,9.3,SSR,Earth,Ayer,Permanent,-,Melee,-,Human,-,Special,1440,8800,Kensho Ono,https://gbf.wiki/Ayer
3199,8.0,SR,Earth,Ayer (Summer),Summer,-,Melee,-,Human,-,Attack,970,7650,Kensho Ono,https://gbf.wiki/Ayer_(Summer)
4137,9.2,SSR,Dark,Azazel,Permanent,-,Dagger,Melee,Primal,-,Attack,1380,9990,Masakazu Morita,https://gbf.wiki/Azazel
4300,9.5,SSR,Fire,Azazel (Halloween),Halloween,-,Dagger,Spear,Primal,-,Attack,1160,10600,Masakazu Morita,https://gbf.wiki/Azazel_(Halloween)
4359,9.5,SSR,Wind,Azusa,Permanent,-,Katana,-,Draph,-,Attack,1223,11485,Asami Seto,https://gbf.wiki/Azusa
4453,9.6,SSR,Dark,Azusa (Summer),Summer,-,Katana,-,Draph,-,Attack,1288,11160,Asami Seto,https://gbf.wiki/Azusa_(Summer)
4215,9.4,SSR,Earth,Baal,Permanent,-,Harp,Axe,Primal,-,Balanced,1540,8320,Kensho Ono,https://gbf.wiki/Baal
4466,9.2,SSR,Fire,Baal (Fire),Permanent,-,Harp,Axe,Primal,-,Attack,1145,10630,Kensho Ono,https://gbf.wiki/Baal_(Fire)
2066,4.5,R,Dark,Bakura,Permanent,-,Harp,-,Draph,-,Balanced,860,4480,Shinnosuke Ogami,https://gbf.wiki/Bakura
2055,5.5,R,Earth,Balurga,Permanent,-,Melee,-,Harvin,-,Attack,580,5000,Yuki Kaida,https://gbf.wiki/Balurga
3053,7.0,SR,Light,Baotorda,Permanent,-,Sabre,-,Draph,-,Defense,1650,6200,Ryōta Takeuchi,https://gbf.wiki/Baotorda
4124,9.5,SSR,Light,Baotorda (SSR),Permanent,-,Sabre,-,Draph,-,Defense,2300,7420,Ryōta Takeuchi,https://gbf.wiki/Baotorda_(SSR)
2034,6.0,R,Fire,Barawa,Permanent,-,Gun,-,Draph,-,Attack,680,5040,Shunsuke Takeuchi,https://gbf.wiki/Barawa
3154,7.0,SR,Fire,Barawa (Event),Permanent,-,Gun,-,Draph,-,Attack,840,6300,Shunsuke Takeuchi,https://gbf.wiki/Barawa_(Event)
3239,7.0,SR,Light,Barawa (SR),Permanent,-,Gun,-,Draph,-,Attack,1080,7760,Shunsuke Takeuchi,https://gbf.wiki/Barawa_(SR)
4493,9.4,SSR,Fire,Barawa and Sarya,Permanent,-,Gun,-,Draph,-,Attack,1500,9300,"Shunsuke Takeuchi,Ari Ozawa",https://gbf.wiki/Barawa_and_Sarya
4582,9.5,SSR,Light,Basara,Grand,Zodiac,Katana,Melee,Erune,-,Attack,1128,8760,Junji Majima,https://gbf.wiki/Basara
4070,9.0,SSR,Dark,Beatrix,Permanent,-,Sabre,-,Human,-,Special,1300,9250,Aya Hirano,https://gbf.wiki/Beatrix
4328,9.4,SSR,Earth,Beatrix (Earth),Permanent,-,Sabre,-,Human,-,Special,1250,8950,Aya Hirano,https://gbf.wiki/Beatrix_(Earth)
3163,8.0,SR,Fire,Beatrix (Halloween),Halloween,-,Sabre,-,Human,-,Special,1120,6580,Aya Hirano,https://gbf.wiki/Beatrix_(Halloween)
3261,7.5,SR,Earth,Beatrix (SR),Permanent,-,Sabre,-,Human,-,Attack,940,7550,Aya Hirano,https://gbf.wiki/Beatrix_(SR)
4110,9.5,SSR,Fire,Beatrix (Summer),Summer,-,Sabre,-,Human,-,Special,990,11000,Aya Hirano,https://gbf.wiki/Beatrix_(Summer)
4366,9.3,SSR,Earth,Benjamin,Fantasy,-,Sabre,Harp,Human,-,Attack,1100,10500,Kishō Taniyama,https://gbf.wiki/Benjamin
4082,9.5,SSR,Dark,Black Knight,Grand,-,Sabre,Gun,Human,-,Attack,1500,10000,Romi Park,https://gbf.wiki/Black_Knight
4270,9.0,SSR,Dark,Black Knight and Orchis,Permanent,-,Sabre,-,Human,-,Defense,1925,7175,"Romi Park,Minori Chihara",https://gbf.wiki/Black_Knight_and_Orchis
3203,6.5,SR,Fire,Blazing Teacher Elmott,Permanent,-,Staff,-,Erune,-,Balanced,1060,5950,Tetsuya Kakihara,https://gbf.wiki/Blazing_Teacher_Elmott
4331,9.2,SSR,Light,Bobobo-bo Bo-bobo,Tie-In / Collab,-,Melee,Staff,Human,-,Special,888,8888,Takehito Koyasu,https://gbf.wiki/Bobobo-bo_Bo-bobo
4424,9.8,SSR,Dark,Bowman,Fantasy,-,Melee,-,Human,-,Attack,980,11100,Yoshimasa Hosoya,https://gbf.wiki/Bowman
2048,5.5,R,Water,Bridgette,Permanent,-,Sabre,-,Harvin,-,Special,600,4520,Kaya Okuno,https://gbf.wiki/Bridgette
3269,7.5,SR,Light,Bridgette and Cordelia,Permanent,-,Sabre,Spear,Harvin,Human,Balanced,1240,6300,"Kaya Okuno,Miki Itō",https://gbf.wiki/Bridgette_and_Cordelia
4009,9.3,SSR,Earth,Cagliostro,Permanent,-,Staff,-,Human,-,Heal,1600,7000,Sakura Tange,https://gbf.wiki/Cagliostro
4120,9.2,SSR,Dark,Cagliostro (Dark),Permanent,-,Staff,-,Human,-,Heal,1805,6370,Sakura Tange,https://gbf.wiki/Cagliostro_(Dark)
3189,7.0,SR,Dark,Cagliostro (Event),Permanent,-,Staff,-,Human,-,Heal,1005,4980,Sakura Tange,https://gbf.wiki/Cagliostro_(Event)
4320,9.6,SSR,Light,Cagliostro (Grand),Grand,-,Staff,-,Human,-,Special,1280,8880,Sakura Tange,https://gbf.wiki/Cagliostro_(Grand)
4062,9.5,SSR,Dark,Cagliostro (Halloween),Halloween,-,Staff,-,Human,-,Balanced,1550,8100,Sakura Tange,https://gbf.wiki/Cagliostro_(Halloween)
4225,9.8,SSR,Water,Cagliostro (Summer),Summer,-,Staff,-,Human,-,Heal,1760,6400,Sakura Tange,https://gbf.wiki/Cagliostro_(Summer)
2062,6.0,R,Water,Cailana,Permanent,-,Melee,-,Erune,-,Attack,580,4320,Asami Shimoda,https://gbf.wiki/Cailana
3251,7.5,SR,Water,Cailana (SR),Permanent,-,Melee,-,Erune,-,Attack,880,6850,Asami Shimoda,https://gbf.wiki/Cailana_(SR)
4164,,SSR,Earth,Caim,Evoker,-,Dagger,Melee,Human,-,Special,1412,10000,Sachi Kokuryu,https://gbf.wiki/Caim
3184,7.0,SR,Earth,Cain,Permanent,-,Katana,-,Human,-,Special,1050,6630,Takuma Terashima,https://gbf.wiki/Cain
4171,9.3,SSR,Earth,Cain (Grand),Grand,-,Katana,-,Human,-,Special,1250,8950,Takuma Terashima,https://gbf.wiki/Cain_(Grand)
4436,9.6,SSR,Fire,Cain (Holiday),Holiday,-,Katana,-,Human,-,Special,1280,8800,Takuma Terashima,https://gbf.wiki/Cain_(Holiday)
2032,4.5,R,Fire,Camieux,Permanent,-,Gun,-,Draph,-,Special,680,4620,Misaki Kuno,https://gbf.wiki/Camieux
2047,5.0,R,Earth,Camieux (Earth),Permanent,-,Gun,-,Draph,-,Special,690,4580,Misaki Kuno,https://gbf.wiki/Camieux_(Earth)
3152,7.0,SR,Water,Camieux (Summer),Summer,-,Gun,-,Draph,-,Special,1000,7480,Misaki Kuno,https://gbf.wiki/Camieux_(Summer)
4461,9.4,SSR,Wind,Cantate,Permanent,-,Harp,-,Erune,-,Attack,1275,11000,Yume Miyamoto,https://gbf.wiki/Cantate
4042,9.0,SSR,Wind,Carmelina,Permanent,-,Dagger,-,Draph,-,Special,1350,9240,Misato Fukuen,https://gbf.wiki/Carmelina
3240,6.5,SR,Earth,Carmelina (SR),Permanent,-,Dagger,-,Draph,-,Special,1040,6880,Misato Fukuen,https://gbf.wiki/Carmelina_(SR)
4460,9.5,SSR,Wind,Caro,Permanent,-,Harp,-,Primal,-,Balanced,1600,7995,Yuma Uchida,https://gbf.wiki/Caro
3046,7.0,SR,Fire,Carren,Permanent,-,Sabre,-,Human,-,Balanced,1190,6500,Satomi Satō,https://gbf.wiki/Carren
3200,7.0,SR,Fire,Carren (Event),Summer,-,Sabre,-,Human,-,Attack,690,6685,Satomi Satō,https://gbf.wiki/Carren_(Event)
4326,9.5,SSR,Dark,Cassius (Event SSR),Permanent,-,Melee,Spear,Other,-,Balanced,1600,8000,Masaya Matsukaze,https://gbf.wiki/Cassius_(Event_SSR)
3262,7.0,SR,Dark,Cassius (Event),Permanent,-,Melee,Spear,Other,-,Balanced,1200,6600,Masaya Matsukaze,https://gbf.wiki/Cassius_(Event)
4384,9.8,SSR,Water,Cassius (Valentine),Valentine,-,Spear,Melee,Other,-,Balanced,1600,8000,Masaya Matsukaze,https://gbf.wiki/Cassius_(Valentine)
3273,7.0,SR,Fire,Cassius (Yukata),Yukata,-,Melee,Spear,Other,-,Balanced,1150,6850,Masaya Matsukaze,https://gbf.wiki/Cassius_(Yukata)
4074,8.5,SSR,Earth,Catherine,Permanent,-,Gun,-,Erune,-,Special,1250,8170,Chiaki Takahashi,https://gbf.wiki/Catherine
3264,7.0,SR,Earth,Catherine (SR),Permanent,-,Gun,-,Erune,-,Special,1150,7970,Chiaki Takahashi,https://gbf.wiki/Catherine_(SR)
4484,9.4,SSR,Wind,Catherine (Wind),Permanent,-,Gun,-,Erune,-,Special,1150,7930,Chiaki Takahashi,https://gbf.wiki/Catherine_(Wind)
4313,9.8,SSR,Wind,Catura,Zodiac,-,Spear,Melee,Draph,-,Attack,1147,11043,Rina Hidaka,https://gbf.wiki/Catura
2074,8.5,R,Earth,Catura (Event),Zodiac,-,Spear,Melee,Draph,-,Special,800,4000,Rina Hidaka,https://gbf.wiki/Catura_(Event)
4437,9.8,SSR,Water,Catura (Holiday),Zodiac,Holiday,Spear,Melee,Draph,-,Attack,1350,9240,Rina Hidaka,https://gbf.wiki/Catura_(Holiday)
3146,6.5,SR,Fire,Cecile (Promo),Permanent,-,Harp,-,Erune,-,Special,900,5000,Misuzu Togashi,https://gbf.wiki/Cecile_(Promo)
4445,9.5,SSR,Dark,Cendrillon,Permanent,-,Dagger,Melee,Other,-,Attack,1140,10150,Naomi Ōzora,https://gbf.wiki/Cendrillon
4016,9.5,SSR,Dark,Cerberus,Permanent,-,Melee,-,Primal,-,Special,1333,7333,Eri Kitamura,https://gbf.wiki/Cerberus
3074,7.0,SR,Light,Ceylan (Event),Permanent,-,Staff,-,Erune,-,Heal,990,4050,Nobuhiko Okamoto,https://gbf.wiki/Ceylan_(Event)
4144,8.5,SSR,Fire,Charioce XVII,Permanent,-,Sabre,-,Human,-,Special,1700,7400,Yūichirō Umehara,https://gbf.wiki/Charioce_XVII
4010,9.0,SSR,Water,Charlotta,Permanent,-,Sabre,-,Harvin,-,Balanced,1450,8400,Kaori Nazuka,https://gbf.wiki/Charlotta
3192,7.5,SR,Wind,Charlotta (Event),Permanent,-,Sabre,-,Harvin,-,Defense,1140,4425,Kaori Nazuka,https://gbf.wiki/Charlotta_(Event)
4438,9.8,SSR,Wind,Charlotta (Grand),Grand,-,Sabre,-,Harvin,-,Defense,1730,7560,Kaori Nazuka,https://gbf.wiki/Charlotta_(Grand)
4020,9.3,SSR,Light,Charlotta (Halloween),Halloween,-,Sabre,-,Harvin,-,Heal,1590,6720,Kaori Nazuka,https://gbf.wiki/Charlotta_(Halloween)
4194,9.3,SSR,Light,Charlotta (Light),Permanent,-,Sabre,-,Harvin,-,Attack,1110,10350,Kaori Nazuka,https://gbf.wiki/Charlotta_(Light)
3198,7.5,SR,Water,Charlotta (Summer),Summer,-,Sabre,-,Harvin,-,Balanced,1135,6510,Kaori Nazuka,https://gbf.wiki/Charlotta_(Summer)
4093,9.4,SSR,Water,Chat Noir,Permanent,-,Staff,Dagger,Human,-,Special,1300,8700,Yoshitsugu Matsuoka,https://gbf.wiki/Chat_Noir
4525,9.5,SSR,Fire,Chichiri,4saints,-,Axe,-,Draph,-,Attack,1382,10690,Yūki Takada,https://gbf.wiki/Chichiri
2059,5.5,R,Wind,Chloe,Permanent,-,Melee,-,Erune,-,Special,580,3960,Miyu Tomita,https://gbf.wiki/Chloe
4530,9.5,SSR,Dark,Chloe (SSR),Permanent,-,Melee,-,Erune,-,Special,1160,7880,Miyu Tomita,https://gbf.wiki/Chloe_(SSR)
3202,7.0,SR,Wind,Chloe (Summer),Summer,-,Melee,-,Erune,-,Special,500,6200,Miyu Tomita,https://gbf.wiki/Chloe_(Summer)
4018,8.5,SSR,Wind,Christina,Permanent,-,Gun,Dagger,Human,-,Balanced,1650,7777,Marina Inoue,https://gbf.wiki/Christina
3105,7.0,SR,Water,Chun-Li,Tie-In / Collab,-,Melee,-,Human,-,Attack,1090,4050,Fumiko Orikasa,https://gbf.wiki/Chun-Li
4377,9.9,SSR,Earth,Cidala,Zodiac,-,Axe,Melee,Erune,-,Attack,852,10140,Ai Kakuma,https://gbf.wiki/Cidala
4512,9.9,SSR,Dark,Cidala (Valentine),Zodiac,Valentine,Axe,-,Erune,-,Attack,1118,8810,Ai Kakuma,https://gbf.wiki/Cidala_(Valentine)
4457,9.5,SSR,Wind,Cinnamoroll and Pompompurin,Tie-In / Collab,-,Melee,-,Other,-,Heal,1736,6416,???,https://gbf.wiki/Cinnamoroll_and_Pompompurin
4046,9.5,SSR,Fire,Clarisse,Permanent,-,Staff,-,Human,-,Special,1380,8480,Ayane Sakura,https://gbf.wiki/Clarisse
4067,8.5,SSR,Earth,Clarisse (Holiday),Holiday,-,Staff,-,Human,-,Special,1280,8800,Ayane Sakura,https://gbf.wiki/Clarisse_(Holiday)
4121,9.2,SSR,Light,Clarisse (Light),Permanent,-,Staff,-,Human,-,Attack,1300,9500,Ayane Sakura,https://gbf.wiki/Clarisse_(Light)
4413,9.7,SSR,Water,Clarisse (Summer),Summer,-,Staff,-,Human,-,Attack,1280,9600,Ayane Sakura,https://gbf.wiki/Clarisse_(Summer)
4206,9.6,SSR,Dark,Clarisse (Valentine),Valentine,-,Staff,-,Human,-,Special,1214,9130,Ayane Sakura,https://gbf.wiki/Clarisse_(Valentine)
3057,6.5,SR,Earth,Claudia,Permanent,-,Melee,-,Human,-,Attack,1130,7250,Miho Arakawa,https://gbf.wiki/Claudia
4235,9.3,SSR,Fire,Colossus,Permanent,-,Sabre,Axe,Primal,-,Attack,930,11050,???,https://gbf.wiki/Colossus
4157,8.0,SSR,Light,Conan Edogawa,Tie-In / Collab,-,Gun,Melee,Human,-,Special,1100,7500,Minami Takayama,https://gbf.wiki/Conan_Edogawa
2064,5.5,R,Light,Cordelia,Permanent,-,Sabre,-,Human,-,Defense,960,3600,Miki Itō,https://gbf.wiki/Cordelia
4467,9.9,SSR,Light,Cosmos,Grand,-,Gun,Sabre,Primal,-,Balanced,1435,8750,Junko Minagawa,https://gbf.wiki/Cosmos
3155,7.0,SR,Fire,Cucouroux,Permanent,-,Gun,-,Human,-,Attack,940,7800,Aya Suzaki,https://gbf.wiki/Cucouroux
4361,9.8,SSR,Earth,Cucouroux (Halloween),Halloween,-,Gun,-,Human,-,Special,1240,9000,Aya Suzaki,https://gbf.wiki/Cucouroux_(Halloween)
4159,8.5,SSR,Water,Cucouroux (SSR),Permanent,-,Gun,-,Human,-,Balanced,1500,8500,Aya Suzaki,https://gbf.wiki/Cucouroux_(SSR)
4539,9.5,SSR,Light,Cucouroux (Summer),Summer,-,Gun,-,Human,-,Special,1255,8925,Aya Suzaki,https://gbf.wiki/Cucouroux_(Summer)
4379,9.6,SSR,Water,Cupitan,Permanent,-,Bow,-,Human,-,Attack,1000,11000,Ayana Taketatsu,https://gbf.wiki/Cupitan
4468,9.5,SSR,Dark,Cupitan (Summer),Summer,-,Bow,-,Human,-,Special,1080,9800,Ayana Taketatsu,https://gbf.wiki/Cupitan_(Summer)
